"since","until","visitedEntityType","visitedEntityKey"
"2018-02-08 00:34:12","2018-02-09 17:36:04",0,"NZL"
"2019-06-27 19:31:54","2019-06-27 19:31:54",1,"NOR-900"
"2019-01-23 20:12:39","2019-01-23 20:12:39",1,"ARG-1271"
"2016-12-20 12:38:06","2016-12-22 11:46:19",4,"Europe"
"2012-09-09 14:25:12","2012-09-09 15:14:58",1,"HUN-3156"
"2019-01-23 20:12:39","2019-01-23 20:12:39",0,"ARG"
"2016-12-20 12:38:06","2016-12-22 11:46:19",3,73
"2012-09-09 14:25:12","2012-09-09 15:14:58",0,"HUN"
"2016-12-20 12:38:06","2016-12-20 12:38:06",1,"SVK-1056"
"2013-06-01 14:15:32","2013-06-01 17:18:14",2,5987
"2016-12-20 12:38:06","2016-12-20 12:38:06",0,"SVK"
"2018-09-15 10:56:11","2018-09-17 16:29:10",1,"MAR-1456"
"2016-07-04 22:53:41","2016-07-05 17:36:28",1,"ISL-5131"
"2012-09-09 14:24:26","2012-09-09 14:24:26",1,"SVK-1056"
"2012-09-09 14:24:26","2012-09-09 14:24:26",0,"SVK"
"2019-02-23 14:57:46","2019-02-23 15:01:58",1,"SVK-1052"
"2019-02-12 18:05:15","2019-02-13 20:47:52",1,"SVK-1051"
"2009-09-30 12:33:31","2012-06-17 14:32:44",4,"Europe"
"2019-06-21 18:45:43","2019-06-22 16:34:49",1,"NOR-900"
"2016-09-11 18:02:19","2016-10-29 09:03:26",2,5987
"2009-09-30 12:33:31","2012-06-17 14:32:44",3,73
"2018-07-01 17:25:11","2018-07-01 17:25:11",1,"HUN-3156"
"2014-09-01 13:24:11","2014-09-01 13:24:29",1,"USA-3558"
"2019-06-21 18:45:43","2019-06-24 10:19:29",0,"NOR"
"2016-09-11 18:02:19","2016-10-29 09:03:26",1,"DNK-3416"
"2009-09-30 12:33:31","2009-10-02 08:43:51",1,"SVK-1051"
"2018-07-01 17:25:11","2018-07-01 17:25:11",0,"HUN"
"2016-09-11 18:02:19","2016-10-29 09:03:26",0,"DNK"
"2016-12-19 00:20:14","2016-12-19 00:20:21",1,"USA-3559"
"2019-11-17 07:20:01","2019-11-19 18:24:38",2,6327
"2009-09-30 12:33:31","2012-05-18 16:48:02",0,"SVK"
